# Line data CSV and plot json.

reference_time,reference_plasma_current,reconstruction_time,reconstruction_plasma_current,reference_axis_z,reconstruction_axis_z,x_point_z_time,x_point_z_reference,x_point_z_reconstruction,shape_rmse,growth_rate_time,growth_rate_gamma
0.0872,-110.0,0.08720016479492188,-126.5804831040283,0.2339,0.2492471298002046,0.4509,-0.7,-0.7301618429707926,2.107583316282855,0.08000016212463379,1.0497765445081098
0.0873,-110.0,0.08730006217956543,-126.75843579339018,0.2339,0.24933016314421497,0.451,-0.6993456967213114,-0.7271649690462441,2.1015549987146076,0.09000015258789062,3.4158918353105
0.0874,-110.0,0.08740019798278809,-126.9856076173255,0.2339,0.24936114062314022,0.4511,-0.698691393442623,-0.7272946312698941,2.106678028826533,0.10000014305114746,5.212474534285651
0.0875,-110.0,0.08750009536743164,-127.0907219996503,0.2339,0.24934467972689406,0.4512,-0.6980370901639343,-0.7295815433902918,2.114622185158444,0.1100001335144043,12.689149578473979
0.0876,-110.0,0.0875999927520752,-127.23999567579867,0.2339,0.24945486788275661,0.4513,-0.6973827868852458,-0.7344503691843494,2.133125294825161,0.12000012397766113,17.693606137113658
0.0877,-110.0,0.08770012855529785,-127.45347815296164,0.2339,0.24954281058209607,0.4514,-0.6967284836065573,-0.7388675310451782,2.152902851936146,0.13000011444091797,17.700591978886294
0.0878,-110.0,0.0878000259399414,-127.72206305168983,0.2339,0.24965004656802728,0.4515,-0.6960741803278688,-0.7380871482863296,2.1614481751688306,0.1400001049041748,17.075060500658992
0.0879,-110.0,0.08790016174316406,-127.91760907158523,0.2339,0.24947470801303628,0.4516,-0.6954198770491803,-0.7336484977384096,2.1413425295564483,0.15000009536743164,15.903688521894107
0.088,-110.0,0.08800005912780762,-128.21752988107988,0.2339,0.24925739601041477,0.4517,-0.6947655737704918,-0.730738507743701,2.1189821492016434,0.16000008583068848,19.697211981173336
0.0881,-110.0,0.08810019493103027,-128.38465681938175,0.2339,0.24882163651040773,0.4518,-0.6941112704918033,-0.730161372912266,2.10386631055367,0.1700000762939453,16.84373028372432
0.0882,-110.0,0.08820009231567383,-128.44414364749696,0.2339,0.2484434310362309,0.4519,-0.6934569672131148,-0.7309429458154004,2.1084129771916515,0.18000006675720215,18.48933974254044
0.0883,-110.0,0.08829998970031738,-128.51729460274166,0.2339,0.2479612659561591,0.452,-0.6928026639344261,-0.7340228493857983,2.088764143504769,0.19000005722045898,19.366071419488982
0.0884,-110.0,0.08840012550354004,-128.5723969913246,0.2339,0.24726153244532842,0.4521,-0.6921483606557377,-0.7372280267095175,2.060961414094661,0.20000004768371582,16.8313483529347
0.0885,-110.0,0.0885000228881836,-128.54900085432288,0.2339,0.2466607331756877,0.4522,-0.6914940573770492,-0.7386269570138053,2.0537140596501797,0.21000003814697266,17.399375004775198
0.0886,-110.0,0.08860015869140625,-128.4746604207009,0.2339,0.24620254211618645,0.4523,-0.6908397540983606,-0.7343941268133665,2.0452107800477988,0.2200000286102295,13.67110403741488
0.0887,-110.0,0.0887000560760498,-128.3660786434063,0.2339,0.24584021873763026,0.4524,-0.6901854508196721,-0.7289654497447361,2.0432987620235656,0.23000001907348633,15.491308225546149
0.0888,-110.0,0.08880019187927246,-128.23669743833963,0.2339,0.24544435755244587,0.4525,-0.6895311475409835,-0.7244915793010682,2.058663817837667,0.24000000953674316,15.686316107325526
0.0889,-110.0,0.08890008926391602,-128.14049741494622,0.2339,0.24487708948268497,0.4526,-0.688876844262295,-0.7216613383880881,2.0638751369757258,0.25,16.333958766009818
0.089,-110.0,0.08900022506713867,-128.0274764255848,0.2339,0.24427354287226036,0.4527,-0.6882225409836065,-0.7225353987852964,2.0689232094411447,0.25999999046325684,16.040045913860784
0.0891,-110.0,0.08910012245178223,-127.90698648284588,0.2339,0.24367228938159274,0.4528,-0.687568237704918,-0.7244165635330255,2.064223721516741,0.2700002193450928,30.261901280849123
0.0892,-110.0,0.08920001983642578,-127.75397171493566,0.2339,0.24302249527464245,0.4529,-0.6869139344262295,-0.72688614432537,2.0494821143920157,0.2800002098083496,46.631207476109694
0.0893,-110.0,0.08930015563964844,-127.45219462082345,0.2339,0.24220454115273682,0.453,-0.686259631147541,-0.7283710666504951,2.0395022878678657,0.29000020027160645,80.42881215012068
0.0894,-110.0,0.08940005302429199,-127.21176228832559,0.2339,0.24132994783438405,0.4531,-0.6856053278688524,-0.7253812978421885,2.026945254161925,0.3000001907348633,113.19047136169905
0.0895,-110.0,0.08950018882751465,-126.72097151886804,0.2339,0.24031621121065433,0.4532,-0.684951024590164,-0.7207764292827573,1.9332262834993355,0.3100001811981201,130.17789020945622
0.0896,-110.0,0.0896000862121582,-126.304351262406,0.2339,0.23924598150758555,0.4533,-0.6842967213114753,-0.7139228636881964,1.8928980972798042,0.32000017166137695,138.56404892115796
0.0897,-110.0,0.08970022201538086,-125.94827013555991,0.2339,0.23820707005846276,0.4534,-0.6836424180327868,-0.7139228636881964,1.8704866663487065,0.3300001621246338,138.87143705862758
0.0898,-110.0,0.08980011940002441,-125.6459354574638,0.2339,0.23751627564992908,0.4535,-0.6829881147540984,-0.7143300911151655,1.8598574245547201,0.3400001525878906,136.1749611889949
0.0899,-110.0,0.08990001678466797,-125.38732625837692,0.2339,0.23679668495523526,0.4536,-0.6823338114754098,-0.7146942024931147,1.8381487035763784,0.35000014305114746,134.0248425378222
0.09,-110.0,0.09000015258789062,-125.38166951240981,0.2339,0.2356556134012476,0.4537,-0.6816795081967213,-0.7168050949732226,1.8678566841151216,0.3600001335144043,176.41404076320953
0.0901,-110.0,0.09010004997253418,-125.12171567112605,0.2339,0.23468052047847163,0.4538,-0.6810252049180328,-0.7181136817279103,1.8413724380084782,0.37000012397766113,162.60039577678862
0.0902,-110.0,0.09020018577575684,-124.77978267878697,0.2339,0.23377395590835803,0.4539,-0.6803709016393442,-0.7161948285944248,1.8300595291321935,0.38000011444091797,165.38547267426904
0.0903,-110.0,0.09030008316040039,-124.3586984591297,0.2339,0.23289011193301315,0.454,-0.6797165983606557,-0.7103347630042189,1.8257700675589343,0.3900001049041748,196.16653080934893
0.0904,-110.0,0.09040021896362305,-123.9673427898263,0.2339,0.23194433009939408,0.4541,-0.6790622950819671,-0.7103347630042189,1.8180953177148815,0.40000009536743164,228.5417306978672
0.0905,-110.0,0.0905001163482666,-123.59896156458073,0.2339,0.2311543072030782,0.4542,-0.6784079918032786,-0.7077812210865934,1.7881109738490917,0.4100000858306885,227.85344003256796
0.0906,-110.0,0.09060001373291016,-123.2909403800541,0.2339,0.23051340587807262,0.4543,-0.6777536885245901,-0.7072351744569196,1.7589050939991975,0.4200000762939453,212.75130653581618
0.0907,-110.0,0.09070014953613281,-122.92967513490639,0.2339,0.22990228597152967,0.4544,-0.6770993852459015,-0.7094945347750418,1.7419249673145014,0.43000006675720215,205.2698457973209
0.0908,-110.0,0.09080004692077637,-122.61343435959523,0.2339,0.2293353807078245,0.4545,-0.6764450819672131,-0.7103314504444662,1.7289066707169103,0.440000057220459,203.52208576622456
0.0909,-110.0,0.09090018272399902,-122.36183505363468,0.2339,0.2287240215585984,0.4546,-0.6757907786885246,-0.7088494873594223,1.6956483621307947,0.4500000476837158,211.29685976774664
0.091,-110.0,0.09100008010864258,-122.082785253793,0.2339,0.228093894367215,0.4547,-0.675136475409836,-0.703980484515407,1.6656579949968446,0.46000003814697266,143.3372280997736
0.0911,-110.0,0.09110021591186523,-121.73966786174127,0.2339,0.22750222014188765,0.4548,-0.6744821721311476,-0.703980484515407,1.6548877439836303,0.4700000286102295,171.7744599906828
0.0912,-110.0,0.09120011329650879,-121.17784069166952,0.2339,0.2270084541975905,0.4549,-0.673827868852459,-0.7027564934760714,1.5676906948832712,0.48000001907348633,111.38642889912832
0.0913,-110.0,0.09130001068115234,-120.81028851246728,0.2339,0.22662444310533786,0.455,-0.6731735655737705,-0.7024191868846157,1.5342713073667695,0.49000000953674316,164.32952026272594
0.0914,-110.0,0.091400146484375,-120.49539381445388,0.2339,0.22631736433096722,0.4551,-0.6725192622950819,-0.7038407280980103,1.5128703112403616,0.5,183.98146634811022
0.0915,-110.0,0.09150004386901855,-120.15036081480808,0.2339,0.22591445357792214,0.4552,-0.6718649590163934,-0.7064801094082613,1.5051029160122136,0.5099999904632568,212.28255467445706
0.0916,-110.0,0.09160017967224121,-119.83592561775303,0.2339,0.22544865868897543,0.4553,-0.6712106557377049,-0.7073167995463961,1.497760729670676,0.5199999809265137,189.89097040485726
0.0917,-110.0,0.09170007705688477,-119.55922665522051,0.2339,0.2251316887207375,0.4554,-0.6705563524590163,-0.70466856235759,1.4772988737339259,0.5300002098083496,180.7553021470388
0.09179999999999999,-110.0,0.09180021286010742,-119.31111498607741,0.2339,0.22498502096978304,0.4555,-0.6699020491803278,-0.70466856235759,1.4581299627103301,0.5400002002716064,189.85151738545088
