# Line data CSV and plot json.

Subfigure A

asym_days,asym_reward,sym_days,sym_reward,sym_days_wide,sym_reward_wide,sym_days_very_wide,sym_reward_very_wide
0.0,,0.0,,0.0,,0.0,
0.001989271541436513,,0.005933171254065302,,0.0037014718795264205,,0.0001285568348787449,
0.002687893076627343,,0.008470490180231906,,0.005727964893535331,,0.0014398468451367484,
0.0030212840962189212,,0.008745536848350808,,0.006031278170369289,,0.0018495278281194193,
0.004104916403690974,,0.008907478134389277,,0.0069457027012551275,,0.0030275176934621956,
0.004183445410044105,,0.01006099960870213,,0.008580552684488119,,0.0032149404949612086,
0.00490251698979625,,0.01138561310591521,,0.009086826421596386,,0.004773471741764634,
0.0053387724939319816,,0.01149257017230546,,0.009964611891795087,,0.005198387464991322,
0.0059094111897327285,,0.012449480827759813,,0.010430260278560498,,0.005449322798737773,
0.008453596223283696,,0.013648599645605794,,0.011085428501720783,,0.00593707379091669,
0.01056851860549715,,0.013705956452974566,,0.011383269691356905,,0.008009344538052876,
0.010627894081451275,,0.013769062489823057,,0.012316272600933357,,0.008117275249075006,
0.010712321762133527,,0.01525831360231947,,0.01253014922969871,,0.008242118358612062,
0.01103273273618133,,0.016392908460564085,,0.01274679611954424,,0.009160393426815669,
0.014992902389279118,,0.016409863316350512,,0.013381161904997295,,0.009344994712758946,
0.016063218538959822,,0.016453974867860478,,0.014852387124189624,,0.009705522551580711,
0.016492037138453236,,0.01783672893764796,,0.015493440829493381,,0.00988091238670879,
0.016784656632829596,,0.018509813974852917,,0.01578990031171728,,0.009969909011765763,
0.017069302995999656,,0.019056640024538395,,0.016841392572279328,,0.010322085191254262,
0.017222400845752824,1.9827952011660428,0.019659594802392853,2.35485098982682,0.018433855703031576,1.9901506888476408,0.010346478251395402,1.985416197916275
0.017595764528270122,2.0769844677985327,0.02000740259333893,2.5504909977097827,0.020620768224751507,2.132446721119565,0.011460544740160306,2.1513764105098168
0.018418073096761,2.23667749010817,0.02021737691980821,2.6028663244966106,0.021189786239906593,2.1590044997670246,0.01308030766469461,2.3045843815358404
0.018658743001244687,2.310857936390443,0.02032229452221482,2.6002067326427603,0.022121468994904445,2.193717690171792,0.014053481957978673,2.3024977067845995
0.01898156943972464,2.505669356310654,0.02030263548647916,2.789486705844719,0.022137059285132973,2.326612109954925,0.014279222438732782,2.3879167048492365
0.021988328071656047,2.5894304627380462,0.020350174509264806,2.8744807612996794,0.02244456669798604,2.4366341374904126,0.016169968001820422,2.41263561845816
0.022527703433125105,2.8175637413826284,0.021062420140262005,2.904134698727118,0.02287559168206321,2.461318529188296,0.016368434699597183,2.4388717526054147
