# Line data CSV and plot json.

Subfigure A
reference_time,reference_radius,reconstruction_time,reconstruction_radius,reference_axis_z,reconstruction_axis_z,growth_rate_time,growth_rate,reference_plasma_current,reconstruction_plasma_current
0.4,0.88,0.40000009536743164,0.8674751115169026,0.24986,0.2545772704356937,0.4,105.27864261983729,-120.0,-118.01337044010306
0.4001,0.88,0.4000999927520752,0.867663950557589,0.24986,0.25452026031262237,0.4036842105263158,106.89219706518935,-120.0,-118.03810477803492
0.4002,0.88,0.40020012855529785,0.8676933256716238,0.24986,0.2546120332788554,0.4073684210526316,109.1773542536614,-120.0,-118.0195129273391
0.40030000000000004,0.88,0.4003000259399414,0.8669577084693905,0.24986,0.2544967215949921,0.4110526315789474,111.98700288175714,-120.0,-117.96854558158157
0.40040000000000003,0.88,0.40040016174316406,0.8665834191385358,0.24986,0.2546370538108614,0.4147368421052632,108.95473868423011,-120.0,-117.90264625370368
0.4005,0.88,0.4005000591278076,0.866040011323214,0.24986,0.2547396692132135,0.41842105263157897,112.29666423220976,-120.0,-117.78769219957732
0.4006,0.88,0.4006001949310303,0.8662689574087923,0.24986,0.2548071481751699,0.42210526315789476,106.31081896842625,-120.0,-117.79686477113646
0.4007,0.88,0.40070009231567383,0.8670137477664296,0.24986,0.2546652159755064,0.42578947368421055,102.17112982961606,-120.0,-117.87273120661217
0.40080000000000005,0.88,0.4007999897003174,0.8675834851183835,0.24986,0.25469542837284365,0.42947368421052634,103.03665940615713,-120.0,-117.95677475381072
0.40090000000000003,0.88,0.40090012550354004,0.8676811656966119,0.24986,0.2547243396566653,0.4331578947368421,105.6724326280447,-120.0,-117.9699732960505
0.401,0.88,0.4010000228881836,0.8677384046625145,0.24986,0.25463950683019665,0.4368421052631579,103.14201293856547,-120.0,-118.01250710698983
0.4011,0.88,0.40110015869140625,0.867568968343556,0.24986,0.254629263238429,0.44052631578947365,103.41703650042757,-120.0,-117.95236523365611
0.4012,0.88,0.4012000560760498,0.8670362109618981,0.24986,0.25470068415407016,0.44421052631578944,106.75927530214733,-120.0,-117.82233210022171
0.40130000000000005,0.88,0.40130019187927246,0.8664747252359063,0.24986,0.25473716761543186,0.44789473684210523,105.08970689116995,-120.0,-117.69234593227834
0.40140000000000003,0.88,0.401400089263916,0.8667874268611512,0.24986,0.2547404341782326,0.451578947368421,92.18931733054046,-120.0,-117.73477508847975
0.4015,0.88,0.40149998664855957,0.8670666010458281,0.24986,0.2547768327660802,0.4552631578947368,36.61407488432656,-120.0,-117.85987823487656
0.4016,0.88,0.4016001224517822,0.8674110652200574,0.24986,0.254755422458275,0.4589473684210526,6.804552783674892,-120.0,-117.93001037939612
0.4017,0.88,0.4017000198364258,0.867552351766274,0.24986,0.25473241262234975,0.4626315789473684,2.605000024551117,-120.0,-117.90465367132056
0.40180000000000005,0.88,0.40180015563964844,0.8674227459585191,0.24986,0.25480583503580806,0.4663157894736842,6.927820053515593,-120.0,-117.90110137070742
0.40190000000000003,0.88,0.401900053024292,0.8670733986727518,0.24986,0.25481904334224603,0.47,-0.7548371271388147,-120.0,-117.8520665563358
0.402,0.88,0.40200018882751465,0.8667257539880953,0.24986,0.25489689337716626,0.48,-0.7920982447201446,-120.0,-117.83177349588424
0.4021,0.88,0.4021000862121582,0.8666126771393295,0.24986,0.2549077995495677,0.5822222222222222,-0.6427265611592338,-120.0,-117.72645633847424
0.4022,0.88,0.40219998359680176,0.8669881775597846,0.24986,0.25491766687634004,0.6844444444444444,-0.7862126992717494,-120.0,-117.86518595518136
0.40230000000000005,0.88,0.4023001194000244,0.8676366896441277,0.24986,0.2549172949669967,0.7866666666666666,-0.5106466397637317,-120.0,-117.93048239225371
0.40240000000000004,0.88,0.40240001678466797,0.8677595127083417,0.24986,0.25483551085333883,0.8888888888888888,-0.5294379106054092,-120.0,-117.97221276160909
0.4025,0.88,0.4025001525878906,0.8678771165941568,0.24986,0.2549192462970028,0.991111111111111,-0.47286079812125326,-120.0,-118.00201660027479
0.4026,0.88,0.4026000499725342,0.8678577687326807,0.24986,0.2548192293369131,1.0933333333333333,-0.48673554538362723,-120.0,-118.0260326099433
0.4027,0.88,0.40270018577575684,0.8675832484197026,0.24986,0.2548627960055164,1.1955555555555555,2.0456952634927923,-120.0,-117.95273975327554
0.40280000000000005,0.88,0.4028000831604004,0.8670062985757941,0.24986,0.254922036344179,1.2977777777777777,-0.7907275343373517,-120.0,-117.86666591036297
0.40290000000000004,0.88,0.40289998054504395,0.8669374340138054,0.24986,0.2550162197683253,1.4,-0.7312981788948607,-120.0,-117.86985230956532
0.403,0.88,0.4030001163482666,0.8675222844657083,0.24986,0.25495259788954927,,,-120.0,-117.99536972666894
0.4031,0.88,0.40310001373291016,0.868033224514979,0.24986,0.25490263913144817,,,-120.0,-118.0257670503631
0.4032,0.88,0.4032001495361328,0.8679280211940429,0.24986,0.25491844124485324,,,-120.0,-118.10229393810116
0.40330000000000005,0.88,0.40330004692077637,0.867932824520356,0.24986,0.25490884415686127,,,-120.0,-118.12118924222749
0.40340000000000004,0.88,0.403400182723999,0.8677231001291712,0.24986,0.2546788333455355,,,-120.0,-118.05633315368826
0.4035,0.88,0.4035000801086426,0.8673509262541088,0.24986,0.2548571568409362,,,-120.0,-118.00195170102397
0.4036,0.88,0.40360021591186523,0.8669939282340183,0.24986,0.25504188659591764,,,-120.0,-117.94315866660445
0.4037,0.88,0.4037001132965088,0.8672318420639161,0.24986,0.2551814510882173,,,-120.0,-117.95066486823906
0.40380000000000005,0.88,0.40380001068115234,0.8677170705979437,0.24986,0.25513534466792986,,,-120.0,-118.01268186832466
0.40390000000000004,0.88,0.403900146484375,0.8679150925032257,0.24986,0.25506629608262366,,,-120.0,-118.11080327630093
0.404,0.88,0.40400004386901855,0.8679787226395603,0.24986,0.25508869211857693,,,-120.0,-118.1574468246756
0.4041,0.88,0.4041001796722412,0.8676849659742196,0.24986,0.25502371204781193,,,-120.0,-118.09052581723381
0.4042,0.88,0.40420007705688477,0.8675570001734414,0.24986,0.25520587171192266,,,-120.0,-118.03813427309125
0.40430000000000005,0.88,0.4043002128601074,0.867142458877689,0.24986,0.2553510316968673,,,-120.0,-117.9755639234389
0.40440000000000004,0.88,0.404400110244751,0.8669398474329524,0.24986,0.2553437905511623,,,-120.0,-117.941968264956
