# Line data CSV and plot json.

reference_time,reference_z_1,reference_z_2,reconstruction_time,reconstruction_z_1,reconstruction_z_2,reference_ip_1,reference_ip_2,reconstruction_ip_1,reconstruction_ip_2
0.008299999999999974,0.55,-0.55,0.008300161361694314,0.3353721982976601,-0.33882296760032105,-72.5,-72.5,-50.433093217660485,-50.06661355655468
0.008399999999999963,0.55,-0.55,0.008400058746337868,0.33111516634147137,-0.3421018988910946,-72.5,-72.5,-50.688707688835976,-50.60968612424149
0.008499999999999952,0.55,-0.55,0.008500194549560525,0.33102566874221195,-0.34194861482000366,-72.5,-72.5,-51.20893332311654,-51.112218065881514
0.008599999999999997,0.55,-0.55,0.00860009193420408,0.33170329187427916,-0.34169494805854794,-72.5,-72.5,-51.743176383937424,-51.6851349059772
0.008699999999999986,0.55,-0.55,0.008699989318847634,0.33209596902210786,-0.3411064480034048,-72.5,-72.5,-52.31722183504759,-52.27131003317629
0.008799999999999975,0.55,-0.55,0.00880012512207029,0.33149101764742034,-0.3406970369469482,-72.5,-72.5,-52.784295615689125,-52.693601625668215
0.008899999999999963,0.55,-0.55,0.008900022506713845,0.3314389328941346,-0.340755367093748,-72.5,-72.5,-53.24948427601591,-53.172666148961845
0.008999999999999952,0.55,-0.55,0.009000158309936501,0.33188600268869556,-0.34113323612498125,-72.5,-72.5,-53.69585191996481,-53.78767991632938
0.009099999999999997,0.55,-0.55,0.009100055694580056,0.3314739001665904,-0.34160237272996097,-72.5,-72.5,-54.32538738830061,-54.2715330834204
0.009199999999999986,0.55,-0.55,0.009200191497802712,0.33107827504770326,-0.34165941360398105,-72.5,-72.5,-54.860338564874105,-54.7157365286458
0.009299999999999975,0.55,-0.55,0.009300088882446267,0.3305927797031631,-0.3409185316274303,-72.5,-72.5,-55.22296770492672,-55.14579383133154
0.009399999999999964,0.55,-0.55,0.009399986267089822,0.3299047807825959,-0.3403497136198964,-72.5,-72.5,-55.61634395725725,-55.597687109058526
0.009499999999999953,0.55,-0.55,0.009500122070312478,0.32974039324397664,-0.3402911803818315,-72.5,-72.5,-56.166461810961245,-56.15202191531983
